keyword,close_variants,avg_monthly_searches,competition,competition_index,low_top_bid_aud,high_top_bid_aud,2025-09,2025-10,2025-11,2025-12,2025-13,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
jura coffee machine rental,,10,HIGH,86,2.68,3.34,10,10,10,10,10,10,10,10,10,10,10,10
coffee machine rental business,,10,UNSPECIFIED,0,0.0,0.0,0,10,10,0,0,10,10,10,10,10,10,0
office coffee machine near me,,10,UNSPECIFIED,0,0.0,0.0,10,0,0,10,0,0,10,0,0,0,10,0
office coffee machine rental melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
commercial coffee machine rental melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine lease melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
rent a coffee machine for office,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
espresso machine rental melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
corporate coffee machine hire,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
workplace coffee machine rental,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee service melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee supplier melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee suppliers melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee solutions melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee delivery melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine for office melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental geelong,coffee machine rental geelong,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire geelong,coffee machine hire geelong,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine geelong,office coffee machine geelong,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
free office coffee machine trial,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine subscription melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine cost,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
best office coffee machine melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine supplier,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine service melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
wmf coffee machine rental,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental victoria,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine rental victoria,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental docklands,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine docklands,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire docklands,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental southbank,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine southbank,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire southbank,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental carlton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine carlton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire carlton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental fitzroy,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine fitzroy,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire fitzroy,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental collingwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine collingwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire collingwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental richmond,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine richmond,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire richmond,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental south yarra,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine south yarra,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire south yarra,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental cremorne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine cremorne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire cremorne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental abbotsford,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine abbotsford,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire abbotsford,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental hawthorn,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine hawthorn,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire hawthorn,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental kew,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine kew,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire kew,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental camberwell,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine camberwell,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire camberwell,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental balwyn,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine balwyn,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire balwyn,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental surrey hills,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine surrey hills,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire surrey hills,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental glen iris,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine glen iris,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire glen iris,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental malvern,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine malvern,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire malvern,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental prahran,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine prahran,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire prahran,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental windsor,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine windsor,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire windsor,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental st kilda,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine st kilda,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire st kilda,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental south melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine south melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire south melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental port melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine port melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire port melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental elwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine elwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire elwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental brighton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine brighton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire brighton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental footscray,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine footscray,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire footscray,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental yarraville,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine yarraville,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire yarraville,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental seddon,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine seddon,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire seddon,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental kensington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine kensington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire kensington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental flemington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine flemington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire flemington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental ascot vale,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine ascot vale,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire ascot vale,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental essendon,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine essendon,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire essendon,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental north melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine north melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire north melbourne,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental brunswick,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine brunswick,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire brunswick,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental coburg,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine coburg,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire coburg,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental northcote,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine northcote,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire northcote,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental thornbury,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine thornbury,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire thornbury,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental preston,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine preston,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire preston,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental cheltenham,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine cheltenham,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire cheltenham,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental moorabbin,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine moorabbin,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire moorabbin,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental clayton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine clayton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire clayton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental mount waverley,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine mount waverley,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire mount waverley,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental glen waverley,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine glen waverley,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire glen waverley,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental box hill,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine box hill,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire box hill,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental dandenong,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine dandenong,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire dandenong,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental dandenong south,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine dandenong south,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire dandenong south,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental mulgrave,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine mulgrave,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire mulgrave,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental notting hill,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine notting hill,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire notting hill,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental tullamarine,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine tullamarine,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire tullamarine,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental laverton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine laverton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire laverton,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental truganina,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine truganina,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire truganina,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental derrimut,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine derrimut,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire derrimut,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental altona,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine altona,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire altona,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental bayswater,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine bayswater,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire bayswater,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental scoresby,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine scoresby,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire scoresby,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental rowville,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine rowville,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire rowville,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental keysborough,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine keysborough,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire keysborough,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental braeside,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine braeside,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire braeside,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental frankston,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine frankston,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire frankston,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental ringwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine ringwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire ringwood,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental nunawading,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine nunawading,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire nunawading,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental doncaster,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine doncaster,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire doncaster,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental heidelberg,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine heidelberg,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire heidelberg,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental bundoora,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine bundoora,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire bundoora,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental werribee,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine werribee,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire werribee,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental sunshine,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine sunshine,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire sunshine,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental campbellfield,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine campbellfield,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire campbellfield,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental thomastown,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine thomastown,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire thomastown,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental epping,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine epping,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire epping,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental broadmeadows,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine broadmeadows,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire broadmeadows,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental mornington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine mornington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire mornington,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental ballarat,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine ballarat,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire ballarat,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine rental bendigo,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
office coffee machine bendigo,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
coffee machine hire bendigo,,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,
